country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Assam,Guwahati,"IITG, Guwahati - PCBA","05-10-2025 09:00:00",26.2028636,91.70046436,PM10,15,41,29
India,Assam,Guwahati,"IITG, Guwahati - PCBA","05-10-2025 09:00:00",26.2028636,91.70046436,SO2,22,27,24
India,Assam,Guwahati,"IITG, Guwahati - PCBA","05-10-2025 09:00:00",26.2028636,91.70046436,CO,2,10,5
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA","05-10-2025 09:00:00",26.10887,91.589544,SO2,11,13,12
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA","05-10-2025 09:00:00",26.10887,91.589544,CO,27,40,33
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA","05-10-2025 09:00:00",26.187500,91.744194,PM10,4,23,14
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA","05-10-2025 09:00:00",26.181742,91.78063,SO2,28,29,29
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB","05-10-2025 09:00:00",13.67,79.35,NH3,1,2,1
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB","05-10-2025 09:00:00",13.67,79.35,OZONE,6,14,12
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB","05-10-2025 09:00:00",13.615387,79.409230,OZONE,32,36,34
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB","05-10-2025 09:00:00",16.536107,80.594233,PM2.5,60,70,64
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB","05-10-2025 09:00:00",16.509717,80.612222,PM10,43,68,53
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB","05-10-2025 09:00:00",13.204880,79.097889,PM2.5,NA,NA,NA
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB","05-10-2025 09:00:00",13.204880,79.097889,NO2,NA,NA,NA
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB","05-10-2025 09:00:00",13.204880,79.097889,CO,NA,NA,NA
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","05-10-2025 09:00:00",16.9872867,81.7363176,NH3,2,3,2
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","05-10-2025 09:00:00",16.9872867,81.7363176,CO,11,42,16
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB","05-10-2025 09:00:00",24.75746,84.366208,PM2.5,NA,NA,NA
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB","05-10-2025 09:00:00",25.42742023,86.13886079,PM2.5,8,32,19
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB","05-10-2025 09:00:00",25.42742023,86.13886079,NH3,3,4,4
